date,act_case
01.01,86596
02.01,89317
03.01,92069
04.01,94021
05.01,95868
06.01,97363
07.01,98463
08.01,99669
09.01,100965
10.01,101241
11.01,102330
12.01,103735
13.01,103235
14.01,102642
15.01,101749
16.01,101310
17.01,101495
18.01,103559
19.01,104512
20.01,104932
21.01,103771
22.01,102120
23.01,100898
24.01,101506
25.01,102664
26.01,101694
27.01,97642
28.01,95577
29.01,94182
30.01,93221
31.01,93897
01.02,94413
02.02,93908
03.02,92142
04.02,90507
05.02,88920
06.02,87651
07.02,86448
08.02,86868
09.02,84146
10.02,81672
11.02,79405
12.02,77035
13.02,75435
14.02,74934
15.02,74481
16.02,72584
17.02,70768
18.02,68586
19.02,65950
20.02,64294
21.02,62891
22.02,62783
23.02,61932
24.02,61315
25.02,59876
26.02,59116
27.02,57490
28.02,57163
01.03,56751
02.03,54980
03.03,53268
04.03,51597
05.03,49963
06.03,48149
07.03,47678
08.03,47180
09.03,46707
10.03,44865
11.03,42981
12.03,41031
13.03,39602
14.03,39661
15.03,39865
16.03,39565
17.03,39465
18.03,38309
19.03,37165
20.03,36955
21.03,37508
22.03,38093
23.03,37500
24.03,37567
25.03,37061
26.03,36192
27.03,35717
28.03,35605
29.03,35559
30.03,35181
31.03,34881
01.04,34459
02.04,34101
03.04,33763
04.04,33491
05.04,33355
06.04,32648
07.04,32414
08.04,32138
09.04,31882
10.04,31597
11.04,32204
12.04,32624
13.04,32101
14.04,31808
15.04,31044
16.04,31299
17.04,31222
18.04,31725
19.04,32059
20.04,31098
21.04,30586
22.04,30327
23.04,29983
24.04,29621
25.04,29321
26.04,29156
27.04,28858




